Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
09:00:33.0,0.0,0.0,0.078
09:00:34.0,0.0,0.0,0.0
09:00:35.0,0.0,0.0,0.0
09:00:36.0,0.07,0.0,0.0
09:00:37.0,0.089,0.082,0.078
09:00:38.0,0.0,0.0,0.003
09:00:39.0,0.003,0.0,0.0
09:00:40.0,0.0,0.0,0.0
09:00:41.0,0.0,0.082,0.0
09:00:42.0,2.871,0.0,0.0
09:00:43.0,0.0,0.0,0.074
09:00:44.0,0.0,0.0,0.0
09:00:45.0,0.0,0.0,0.0
09:00:46.0,0.066,0.0,0.0
09:00:47.0,0.0,0.082,0.078
09:00:48.0,0.0,0.0,0.003
09:00:49.0,0.003,0.0,0.0
09:00:50.0,0.0,0.0,0.0
09:00:51.0,0.0,0.078,0.0
09:00:52.0,0.062,0.0,0.0
09:00:53.0,0.0,0.0,0.082
09:00:54.0,0.0,0.0,0.0
09:00:55.0,0.0,0.007,0.0
09:00:56.0,0.066,0.0,0.0
09:00:57.0,0.0,0.085,0.082
09:00:58.0,0.0,0.0,1.953
09:00:59.0,0.003,0.0,0.0
09:01:00.0,0.0,1.718,0.0
09:01:01.0,0.0,0.093,0.0
09:01:02.0,0.074,0.0,0.0
09:01:03.0,0.0,0.0,0.097
09:01:04.0,0.0,0.0,0.0
09:01:05.0,0.0,0.0,0.0
09:01:06.0,0.066,0.0,0.0
09:01:07.0,0.0,0.082,0.082
09:01:08.0,0.0,0.0,0.007
09:01:09.0,0.003,0.0,0.0
09:01:10.0,0.0,0.0,0.0
09:01:11.0,0.0,0.066,0.0
09:01:12.0,0.132,0.0,0.0
09:01:13.0,0.0,0.0,1.804
09:01:14.0,0.0,0.0,0.0
09:01:15.0,0.0,0.0,0.0
09:01:16.0,0.062,0.0,0.0
09:01:17.0,1.66,0.082,0.089
09:01:18.0,0.0,0.0,0.003
09:01:19.0,0.003,0.0,0.0
09:01:20.0,0.0,1.687,0.0
09:01:21.0,0.0,0.097,0.0
09:01:22.0,0.078,0.0,0.0
09:01:23.0,0.0,0.0,0.078
09:01:24.0,0.0,0.0,0.0
09:01:25.0,0.0,0.0,0.0
09:01:26.0,0.066,0.0,0.0
09:01:27.0,0.0,0.082,0.074
09:01:28.0,0.0,0.0,0.003
09:01:29.0,0.003,0.0,0.0
09:01:30.0,0.0,0.0,0.0
09:01:31.0,0.0,0.082,0.0
09:01:32.0,0.07,0.0,0.0
09:01:33.0,0.0,0.0,0.078
09:01:34.0,0.0,0.0,0.0
09:01:35.0,0.0,2.839,0.0
09:01:36.0,0.066,0.0,0.0
09:01:37.0,0.0,0.097,0.074
09:01:38.0,0.0,0.0,0.003
09:01:39.0,0.003,0.0,0.0
09:01:40.0,0.0,0.0,0.0
09:01:41.0,0.0,0.082,0.0
09:01:42.0,0.066,0.0,0.0
09:01:43.0,0.0,0.0,0.085
09:01:44.0,0.0,0.0,0.0
09:01:45.0,0.0,0.0,0.0
09:01:46.0,0.062,0.0,0.0
09:01:47.0,0.066,0.082,0.078
09:01:48.0,0.0,0.0,2.894
09:01:49.0,0.003,0.0,0.0
09:01:50.0,0.0,0.0,0.0
09:01:51.0,0.0,0.074,0.0
09:01:52.0,2.867,0.0,0.0
09:01:53.0,0.0,0.0,0.089
09:01:54.0,0.0,0.0,0.0
09:01:55.0,0.0,1.695,0.0
09:01:56.0,0.078,0.0,0.0
09:01:57.0,0.0,0.097,0.074
09:01:58.0,0.0,0.0,0.003
09:01:59.0,0.003,0.0,0.0
09:02:00.0,0.0,0.0,0.0
09:02:01.0,0.0,0.082,0.0
09:02:02.0,0.074,0.0,0.0
09:02:03.0,0.0,0.0,0.074
09:02:04.0,0.0,0.0,0.0
09:02:05.0,0.0,0.0,0.0
09:02:06.0,0.066,0.0,0.0
09:02:07.0,0.0,0.082,0.078
09:02:08.0,0.0,0.0,0.003
09:02:09.0,0.003,0.0,0.0
09:02:10.0,0.0,0.0,0.0
09:02:11.0,0.066,0.07,0.0
09:02:12.0,0.0,0.0,0.0
09:02:13.0,0.0,0.0,0.078
09:02:14.0,0.0,0.0,0.007
09:02:15.0,0.0,0.0,0.0
09:02:16.0,0.058,0.0,0.0
09:02:17.0,0.0,0.078,0.074
